BR	ts	chi2	CLs	CLb	CLsb	CLs_exp_b_med	CLs_exp_b_p1	CLs_exp_b_p2	CLs_exp_b_m1	CLs_exp_b_m2	CLb_exp_s_med	CLb_exp_s_p1	CLb_exp_s_p2	CLb_exp_s_m1	CLb_exp_s_m2
4.901	-3.73861208277	0.0	0.0433247193701	0.985996	0.042718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5.001	-3.49879657644	0.0	0.0389886482583	0.985928	0.03844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5.101	-3.25313531244	0.0	0.0338437251433	0.985648	0.033358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5.201	-3.0017781314	0.0	0.0299860232918	0.985926	0.029564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5.301	-2.7448686544	0.0	0.0264192751135	0.985644	0.02604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5.401	-2.48254463541	0.0	0.0231985176977	0.985494	0.022862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5.501	-2.2149382886	0.0	0.0205678220635	0.98552	0.02027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5.601	-1.9421765925	0.0	0.0181595336029	0.985598	0.017898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5.701	-1.66438157318	0.0	0.0156527600959	0.985002	0.015418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5.801	-1.38167056796	0.0	0.0137947135491	0.98516	0.01359	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5.901	-1.09415647152	0.0	0.012079089713	0.985008	0.011898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6.0	-0.804892941063	0.0	0.0107758970777	0.984976	0.010614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6.5	0.722813441971	0.0	0.00528883454722	0.984716	0.005208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7.0	2.35368182324	0.0	0.00272678322886	0.98431	0.002684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7.5	4.07779123229	0.0	0.00129699576748	0.983812	0.001276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8.0	5.88670742156	0.0	0.000592008495627	0.983094	0.000582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8.5	7.77319107543	0.0	0.000242181998754	0.982732	0.000238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9.0	9.73097541438	0.0	0.000118125551168	0.982006	0.000116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9.5	11.7545940703	0.0	6.51980799165e-05	0.981624	6.4e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10.0	13.8392460394	0.0	2.65120538072e-05	0.980686	2.6e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10.5	15.9806884234	0.0	4.07861946889e-06	0.980724	4e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11.0	18.1751502959	0.0	4.08230748349e-06	0.979838	4e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11.5	20.4192628399	0.0	0.0	0.979694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12.0	22.7100021636	0.0	0.0	0.978958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12.5	25.0446421031	0.0	2.04434595234e-06	0.978308	1.99999999995e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13.0	27.4207149668	0.0	0.0	0.977764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13.5	29.8359786548	0.0	2.04606929622e-06	0.977484	1.99999999995e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14.0	32.2883889377	0.0	0.0	0.976964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14.5	34.7760759414	0.0	0.0	0.976688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15.0	37.297324088	0.0	0.0	0.975864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15.5	39.8505548937	0.0	0.0	0.975156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
